Word,oxford_level,oxford_version,lexile_grade,lexile_category,awsl,toefl,tsl,bsl,ngsl_freq,ngsl_sp_freq,naver_priority,lemmetized
a,NN,0,0,NN,Y,N,N,N,A1,A1,,True
aback,NN,0,0,NN,N,N,N,N,B3,C1,,False
abacus,NN,0,0,NN,N,N,N,N,C3,C3,,True
abalone,NN,0,0,NN,N,N,N,N,C3,NN,,True
abandon,B2,3000,0,NN,N,N,N,N,A2,A3,,True
abandonment,NN,0,0,NN,N,N,N,N,B3,C1,,True
abase,NN,0,0,NN,N,N,N,N,C4,NN,,True
abash,NN,0,0,NN,N,N,N,N,C4,NN,,True
abate,NN,0,0,NN,N,N,N,N,C1,C1,,True
abatement,NN,0,0,NN,N,N,N,N,C1,C3,,True
abattoir,NN,0,0,NN,N,N,N,N,C2,C2,,True
abaya,NN,0,0,NN,N,N,N,N,C5,C2,,True
abbacy,NN,0,0,NN,N,N,N,N,C4,NN,,True
abbess,NN,0,0,NN,N,N,N,N,C3,NN,,True
abbey,NN,0,0,NN,N,N,N,N,B3,C1,,True
abbot,NN,0,9,social_studies,N,N,N,N,C1,C3,,True
abbreviate,NN,0,9,general,N,Y,N,N,B3,C1,,True
abbreviation,NN,0,6,general,N,Y,N,N,B3,C1,,True
abdicate,NN,0,9,social_studies,N,N,N,N,C1,C1,,True
abdication,NN,0,0,NN,N,N,N,N,C2,C2,,True
abdomen,NN,0,6,science,N,Y,N,N,B3,B3,,True
abdominal,NN,0,9,science,N,N,N,N,A4,A4,,True
abduct,NN,0,0,NN,N,N,N,N,B3,B2,,True
abduction,NN,0,0,NN,N,N,N,N,C1,B3,,True
abductor,NN,0,0,NN,N,N,N,N,C3,C2,,True
abed,NN,0,0,NN,N,N,N,N,C4,NN,,False
abelian,NN,0,0,NN,N,N,N,N,C4,NN,,False
aberrant,NN,0,0,NN,N,N,N,N,C1,C2,,True
aberration,NN,0,9,science,N,N,N,N,C1,C1,,True
abet,NN,0,0,NN,N,N,N,N,C1,C1,,True
abettor,NN,0,0,NN,N,N,N,N,C5,NN,,True
abeyance,NN,0,0,NN,N,N,N,N,C3,C2,,True
abhor,NN,0,0,NN,N,N,N,N,C1,C1,,True
abhorrence,NN,0,0,NN,N,N,N,N,C3,NN,,True
abhorrent,NN,0,0,NN,N,N,N,N,C2,C1,,False
abide,NN,0,0,NN,N,N,Y,N,B2,B1,,True
abigail,NN,0,0,NN,N,Y,N,N,NN,NN,,True
ability,A2,3000,4,general,N,N,N,N,A1,A1,,True
abiotic,NN,0,4,science,N,N,N,N,C4,NN,,False
abject,NN,0,0,NN,N,N,N,N,C1,C1,,False
abjectly,NN,0,0,NN,N,N,N,N,C4,NN,,False
abjure,NN,0,0,NN,N,N,N,N,C3,NN,,True
ablate,NN,0,0,NN,N,N,N,N,C4,NN,,True
ablation,NN,0,0,NN,N,N,N,N,C3,NN,,True
ablative,NN,0,0,NN,N,N,N,N,C4,NN,,True
ablaze,NN,0,0,NN,N,N,N,N,C1,C1,,False
able,A2,3000,0,NN,Y,N,N,N,A1,A1,,True
ablution,NN,0,0,NN,N,N,N,N,C3,NN,,True
ably,NN,0,9,general,N,N,N,N,C2,C3,,False
abnormal,NN,0,6,science,N,Y,N,N,B2,B2,,True
abnormality,NN,0,0,NN,N,N,N,N,B2,C1,,True
abnormally,NN,0,9,science,N,N,N,N,C1,C2,,False
aboard,NN,0,0,NN,N,N,Y,N,B1,B1,,False
abode,NN,0,6,social_studies,N,N,N,N,C1,C2,,True
abolish,C1,5000,4,social_studies,N,N,N,Y,B1,B1,,True
abolition,NN,0,5,social_studies,N,N,N,N,B2,B2,,True
abolitionism,NN,0,9,social_studies,N,N,N,N,C4,NN,,True
abolitionist,NN,0,4,social_studies,N,Y,N,N,C1,C1,,True
abomasum,NN,0,0,NN,N,N,N,N,C4,NN,,True
abominable,NN,0,0,NN,N,N,N,N,C2,C2,,False
abominably,NN,0,0,NN,N,N,N,N,C4,NN,,False
abomination,NN,0,6,social_studies,N,N,N,N,C2,C2,,True
aborad,NN,0,0,NN,N,N,N,N,C4,NN,,False
aboriginal,NN,0,9,social_studies,N,N,N,N,C1,C1,,True
aborigine,NN,0,6,social_studies,N,N,N,N,C3,C2,,True
abort,NN,0,0,NN,N,N,N,N,B3,B3,,True
abortion,C1,5000,0,NN,N,N,N,N,A3,A2,,True
abortionist,NN,0,0,NN,N,N,N,N,C4,NN,,True
abortive,NN,0,0,NN,N,N,N,N,C1,C3,,False
abound,NN,0,0,NN,N,N,N,N,B2,C1,,True
about,A1,3000,0,NN,Y,N,N,N,A1,A1,,False
above,A1,3000,0,NN,Y,N,N,N,A1,A2,,True
aboveground,NN,0,0,NN,N,N,N,N,C3,NN,,False
abracadabra,NN,0,0,NN,N,N,N,N,C5,C3,,True
abrade,NN,0,0,NN,N,N,N,N,C4,NN,,True
abraham,NN,0,0,NN,N,Y,N,N,NN,NN,,True
abrasion,NN,0,6,science,N,Y,N,N,C2,C2,,True
abrasive,NN,0,9,science,N,N,N,N,C1,C1,,True
abreast,NN,0,0,NN,N,N,N,N,C1,C1,,False
abridge,NN,0,9,social_studies,N,N,N,N,C2,C2,,True
abridgment,NN,0,0,NN,N,N,N,N,C3,C2,,True
abroad,B2,3000,6,social_studies,N,N,N,N,A2,A3,,False
abrogate,NN,0,0,NN,N,N,N,N,C2,C2,,True
abrupt,NN,0,0,NN,N,N,N,N,B2,B3,,False
abruptly,NN,0,9,general,N,N,N,N,B1,B3,,False
abruptness,NN,0,0,NN,N,N,N,N,C4,NN,,True
abscess,NN,0,0,NN,N,N,N,N,C1,C2,,True
abscissa,NN,0,0,NN,N,N,N,N,C4,NN,,True
abscond,NN,0,0,NN,N,N,N,N,C2,C2,,True
abseil,NN,0,0,NN,N,N,N,N,C2,NN,,True
absence,C1,5000,9,general,N,N,N,N,A2,A3,,True
absent,C1,5000,0,NN,N,Y,Y,N,B1,B1,,True
absentee,NN,0,9,social_studies,N,N,N,N,B3,B1,,True
absenteeism,NN,0,0,NN,N,N,N,N,C1,C2,,True
absently,NN,0,0,NN,N,N,N,N,C3,NN,,False
absentmindedly,NN,0,0,NN,N,N,N,N,C4,NN,,False
absolute,B2,3000,6,general,Y,N,N,N,A3,A3,,True
absolutely,B1,3000,0,NN,N,N,N,N,A2,A1,,False
absolution,NN,0,0,NN,N,N,N,N,C2,C3,,True
absolutism,NN,0,9,social_studies,N,N,N,N,C2,NN,,True
absolutist,NN,0,0,NN,N,N,N,N,C2,C2,,True
absolve,NN,0,0,NN,N,N,N,N,C1,C1,,True
absorb,B2,5000,3,science,Y,Y,Y,Y,A3,A3,,True
absorbency,NN,0,0,NN,N,N,N,N,C5,C3,,True
absorbent,NN,0,0,NN,N,N,N,N,C3,C2,,True
absorber,NN,0,0,NN,N,N,N,N,C3,C2,,True
absorption,NN,0,6,science,N,N,N,Y,A4,A4,,True
absorptive,NN,0,0,NN,N,N,N,N,C3,NN,,False
abstain,NN,0,0,NN,N,N,N,N,C1,B3,,True
abstainer,NN,0,0,NN,N,N,N,N,C4,NN,,True
abstemious,NN,0,0,NN,N,N,N,N,C3,NN,,False
abstention,NN,0,0,NN,N,N,N,N,C1,C2,,True
abstinence,NN,0,0,NN,N,N,N,N,C1,B2,,True
abstinent,NN,0,0,NN,N,N,N,N,C5,C2,,True
abstract,B2,5000,0,NN,Y,N,N,N,A3,A3,,True
abstraction,NN,0,0,NN,N,N,N,N,B2,C1,,True
abstractly,NN,0,6,math,N,N,N,N,C4,NN,,False
abstractness,NN,0,0,NN,N,N,N,N,C4,NN,,True
abstruse,NN,0,0,NN,N,N,N,N,C3,NN,,True
absurd,C1,5000,0,NN,N,N,N,N,B1,B1,,True
absurdity,NN,0,9,social_studies,N,N,N,N,C1,C1,,True
absurdly,NN,0,0,NN,N,N,N,N,C1,C2,,False
abundance,NN,0,9,general,N,Y,N,N,B1,B2,,True
abundant,NN,0,6,social_studies,N,Y,N,N,B1,B2,,False
abundantly,NN,0,0,NN,N,N,N,N,C1,C1,,False
abuse,C1,5000,0,NN,N,N,N,N,A2,A2,,True
abuser,NN,0,0,NN,N,N,N,N,C1,B3,,True
abusive,NN,0,0,NN,N,N,N,N,B2,B2,,False
abut,NN,0,0,NN,N,N,N,N,C1,C1,,True
abutment,NN,0,0,NN,N,N,N,N,C4,C3,,True
abuzz,NN,0,0,NN,N,N,N,N,C3,C2,,False
abysmal,NN,0,0,NN,N,N,N,N,C2,C1,,False
abysmally,NN,0,0,NN,N,N,N,N,C5,NN,,False
abyss,NN,0,0,NN,N,N,N,N,C1,C1,,True
abyssal,NN,0,5,science,N,N,N,N,C4,NN,,False
ac,NN,0,0,NN,N,Y,N,N,NN,NN,,True
acacia,NN,0,0,NN,N,Y,N,N,C3,C2,,True
academia,NN,0,0,NN,N,N,N,N,C1,C1,,True
academic,B1,3000,6,general,N,N,N,N,A2,A3,,True
academically,NN,0,0,NN,N,N,N,N,C1,B2,,False
academician,NN,0,0,NN,N,N,N,N,C3,C3,,True
academy,C1,5000,0,NN,Y,Y,N,N,B1,B1,,True
acanthocephalan,NN,0,0,NN,N,N,N,N,C4,NN,,True
acanthus,NN,0,0,NN,N,N,N,N,C4,NN,,True
accede,NN,0,0,NN,N,N,N,N,C1,C2,,True
accelerate,C1,5000,4,science,Y,Y,N,Y,A4,A4,,True
acceleration,NN,0,4,science,N,Y,N,N,A4,A4,,True
accelerator,NN,0,9,science,N,N,N,N,B3,B3,,True
accelerometer,NN,0,0,NN,N,N,N,N,C4,NN,,True
accent,B2,5000,0,NN,N,Y,Y,N,A3,A3,,True
accentual,NN,0,0,NN,N,N,N,N,C4,NN,,False
accentuate,NN,0,0,NN,N,N,N,N,B3,C1,,True
accentuation,NN,0,0,NN,N,N,N,N,C4,NN,,True
accept,A2,3000,0,NN,Y,N,N,N,A1,A1,,True
acceptability,NN,0,0,NN,N,N,N,N,C1,C2,,True
