Word,Lemmas
a,an
a-bit,abit;abits;a bit;a bits
a-bone-of-contention,aboneofcontention;aboneofcontentions;a bone of contention;a bone of contentions
a-breath-of-fresh-air,abreathoffreshair;abreathoffreshairs;a breath of fresh air;a breath of fresh airs
a-broken-heart,abrokenheart;abrokenhearts;a broken heart;a broken hearts
a-broken-home,abrokenhome;abrokenhomes;a broken home;a broken homes
a-certain,acertain;acertains;a certain;a certains
a-change-of-clothes,achangeofclothes;achangeofclothess;a change of clothes;a change of clothess
a-change-of-heart,achangeofheart;achangeofhearts;a change of heart;a change of hearts
a-clap-of-thunder,aclapofthunder;aclapofthunders;a clap of thunder;a clap of thunders
a-conflict-of-interest,aconflictofinterest;aconflictofinterests;a conflict of interest;a conflict of interests
a-deep-sleep,adeepsleep;adeepsleeps;a deep sleep;a deep sleeps
a-downward-spiral,adownwardspiral;adownwardspirals;a downward spiral;a downward spirals
a-drop-in-the-ocean,adropintheocean;adropintheoceans;a drop in the ocean;a drop in the oceans
a-fair-chance,afairchance;afairchances;a fair chance;a fair chances
a-few,afew;afews;a few;a fews
a-fine-line,afineline;afinelines;a fine line;a fine lines
a-flight-of-stairs,aflightofstairs;aflightofstairss;a flight of stairs;a flight of stairss
a-force-to-be-reckoned-with,aforcetobereckonedwith;aforcetobereckonedwiths;a force to be reckoned with;a force to be reckoned withs
a-free-hand,afreehand;afreehands;a free hand;a free hands
a-good-deal,agooddeal;agooddeals;a good deal;a good deals
a-great-deal,agreatdeal;agreatdeals;a great deal;a great deals
a-hand,ahand;ahands;a hand;a hands
a-handful-of,ahandfulof;ahandfulofs;a handful of;a handful ofs
a-labor-of-love,alaboroflove;alaborofloves;a labor of love;a labor of loves
a-last-resort,alastresort;alastresorts;a last resort;a last resorts
a-little,alittle;alittles;a little;a littles
a-little-bit,alittlebit;alittlebits;a little bit;a little bits
a-lot,alot;alots;a lot;a lots
a-matter-of-course,amatterofcourse;amatterofcourses;a matter of course;a matter of courses
a-matter-of-life-and-death,amatteroflifeanddeath;amatteroflifeanddeaths;a matter of life and death;a matter of life and deaths
a-means-to-an-end,ameanstoanend;ameanstoanends;a means to an end;a means to an ends
a-narrow-escape,anarrowescape;anarrowescapes;a narrow escape;a narrow escapes
a-nest-egg,anestegg;anesteggs;a nest egg;a nest eggs
a-pity,apity;apitys;a pity;a pitys
a-roof-over-your-head,aroofoveryourhead;aroofoveryourheads;a roof over your head;a roof over your heads
a-rule-of-thumb,aruleofthumb;aruleofthumbs;a rule of thumb;a rule of thumbs
a-safe-bet,asafebet;asafebets;a safe bet;a safe bets
a-sense-of-humor,asenseofhumor;asenseofhumors;a sense of humor;a sense of humors
a-shade,ashade;ashades;a shade;a shades
a-shame,ashame;ashames;a shame;a shames
a-sharp-pain,asharppain;asharppains;a sharp pain;a sharp pains
a-shoulder-to-cry-on,ashouldertocryon;ashouldertocryons;a shoulder to cry on;a shoulder to cry ons
a-slap-in-the-face,aslapintheface;aslapinthefaces;a slap in the face;a slap in the faces
a-sleepless-night,asleeplessnight;asleeplessnights;a sleepless night;a sleepless nights
a-sore-point,asorepoint;asorepoints;a sore point;a sore points
a-stroke-of-luck,astrokeofluck;astrokeoflucks;a stroke of luck;a stroke of lucks
a-sure-thing,asurething;asurethings;a sure thing;a sure things
a-thing,athing;athings;a thing;a things
a-tight-corner,atightcorner;atightcorners;a tight corner;a tight corners
a-touch,atouch;atouchs;a touch;a touchs
a-while,awhile;awhiles;a while;a whiles
abacus,abacuses
abalone,abalones
abandon,abandoned;abandoning;abandons
abandonment,abandonments
abase,abased;abasing;abases
abash,abashed;abashes;abashing
abate,abated;abating;abates
abatement,abatements
abattoir,abattoirs
abaya,abayas
abbacy,abbacies
abbess,abbesses
abbey,abbeys
abbot,abbots
abbreviate,abbreviated;abbreviating;abbreviates
abbreviation,abbreviations
abdicate,abdicated;abdicating;abdicates
abdication,abdications
abdomen,abdomens
abdominal,abdominals
abduct,abducted;abducting;abducts
abduction,abductions
abductor,abductors
aberrant,aberrants
aberration,aberrations
abet,abetted;abetting;abets
abettor,abettors
abeyance,abeyances
abhor,abhorred;abhors;abhorring
abhorrence,abhorrences
abide,abiding;abides;abided;abode
abigail,abigails
ability,abilities
abjure,abjured;abjuring;abjures
ablate,ablated;ablates;ablating
ablation,ablations
ablative,ablatives
able,abler;ablest;ables;abled;abling;ablings
ablution,ablutions
abnormal,abnormals
abnormality,abnormalities
abode,abodes
abolish,abolished;abolishing;abolishes
abolition,abolitions
abolitionism,abolitionisms
abolitionist,abolitionists
abomasum,abomasums
abomination,abominations
aboriginal,aboriginals
aborigine,aborigines
abort,aborted;aborting;aborts
abortion,abortions
abortionist,abortionists
abound,abounded;abounds;abounding
about,abouts
above,aboves
above-all,aboveall;abovealls;above all;above alls
abracadabra,abracadabras
abrade,abraded;abrading;abrades
abraham,abrahams
abrasion,abrasions
abrasive,abrasives
abridge,abridged;abridging;abridges
abridgment,abridgments
abrogate,abrogated;abrogating;abrogates
abruptness,abruptnesses
abscess,abscesses
abscissa,abscissae
abscond,absconded;absconding;absconds
abseil,abseiling;abseils;abseiled;abseilling
absence,absences
absent,absented;absenting;absents
absentee,absentees
absenteeism,absenteeisms
absolute,absolutes
absolution,absolutions
absolutism,absolutisms
absolutist,absolutists
absolve,absolved;absolving;absolves
absorb,absorbed;absorbing;absorbs
absorbency,absorbencies
absorbent,absorbents
absorber,absorbers
absorption,absorptions
abstain,abstained;abstaining;abstains
