Word,Lemmas
be,
the,
and,
a,
that,those
to,
you,your;yours;yourself;yous;youse
of,
it,its;itself
i,I;me;mine;my;myself
in,inner;innermost;inward;inwardly;inwardness
this,
have,
we,our;ours;ourself;us
so,
do,doable;doer;redo;undo
not,
they,their;theirs;them;themselves
what,whatever
go,goer;goner
on,
but,
for,
there,
if,
can,
some,somebody;somehow;someone;something;sometime;sometimes;somewhere
one,noone;oneness;oneself
get,
about,
with,
as,
at,
will,unwilling;unwillingly;unwillingness;;willingly;willingness
or,
he,him;himself;his
here,
just,
all,
know,knowable;knowingly;unknowable;unknowing;unknowingly;unknown
say,unsaid;unsayable
like,dislike;;likeable;likeably
then,
think,aforethought;afterthought;rethink;;thinker;thoughtful;thoughtfully;thoughtfulness;thoughtless;thoughtlessly;thoughtlessness;unthinkable;unthinking;unthinkingly
thing,thingy
because,
which,whichever
right,righthand;righthander;rightist;rightmost
from,
by,
now,
up,upmost;upside
see,seer;unseeing;unseeingly
ok,
would,
out,outer;outgoing;outside;outsider;outward;outwardly
very,
time,anytime;onetime;onetimer;overtime;;timeless;timelessness;timeliness;timely;timeout;timer;untimed;untimeliness;untimely
how,knowhow
make,maker;moneymaker;moneymaking;remade;unmade
look,looker;lookout;lookup;onlooker;relook;unlooked
when,whenever
want,unwanted
way,midway;someway
more,
well,unwell;;wellbeing;wellknown;wellness
other,otherness
people,townspeople
two,
yes,
any,anybody;anyhow;anymore;anyone;anything;anyway;anywhere
use,misuse;misuser;reusable;reuse;unusable;unused;usability;usable;;useful;usefully;usefulness;useless;uselessly;uselessness;user
actual,actualisation;actualise;actuality;actualize;actually
really,
take,retake;;takeout;taker
where,wherever
come,comer;incoming;oncoming
kind,
mean,meaningful;meaningfully;meaningfulness;meaningless;meaninglessness
could,
work,coworker;footwork;rework;unworkable;unworked;woodwork;woodworker;woodworking;;workable;worker
no,
who,whoever;whom;whomever;whose
talk,talker
into,
give,giver;ungiven
point,endpoint;midpoint;nonpoint;;pointed;pointedly;pointer;pointless;pointlessly;pointlessness;pointy;waypoint
let,
over,overly;overuse;takeover
also,
different,differently
call,caller;uncalled
than,
every,everybody;everyday;everydayness;everyone;everything;everytime;everywhere
much,
first,firstly
good,gooder;goodly;goodness;goodwill;goody
back,backer;backup;backward;backwardness;callback;talkback
same,sameness
lot,
little,littleness
three,third;thirdly
need,needful;needless;needlessly;unneeded
problem,problematic;problematical;problematically;subproblem;unproblematic
put,
only,
case,casework;caseworker
question,questionable;questionably;questioner;questioningly;unquestionability;unquestionable;unquestionably;unquestioned;unquestioningly
sort,sorter
down,downward;letdown
happen,
through,throughout;throughput;throughway
number,renumber;unnumbered
find,finder;unfound
part,partial;partially;partway
why,
try,triable;;untried
year,yearling;yearly
start,restart;;starter
should,
might,
again,
change,changeable;changeover;changer;unchangeable;unchangeably;unchanged
most,mostly
system,subsystem;;systematic;systematically;unsystematic;unsystematically
many,
course,coursework
big,biggish;bigness
another,
even,
show,showcase;showtime
interest,interestedly;interestingly;uninteresting
bit,bitty
write,rewrite;unwritten;;writer
move,immovable;movable;;movement;mover;movingly;unmovable;unmoved
between,inbetween
new,newcomer;newish;newly;newness;renew;renewable;renewal
high,highly
she,her;hers;herself
term,midterm;preterm;;termism;termly
fact,factly
idea,
state,statement;upstate
four,fortieth;forty;fortyish;;fourteen;fourteenth;fourth;fourthly
tell,retell;storyteller;storytelling;;untold
five,fifteen;fifteenth;fifth;fifthly;fiftieth;fifty
end,endless;endlessly;endnote;unended
probably,improbability;improbable;improbably;probabilistic;probabilistically;probability;probable
important,importantly;unimportant
world,otherworldliness;unworldliness;unworldly;;worldliness;worldly
before,
basic,basically
set,setback;setup;subset;unset
may,
particular,particularisation;particularise;particularism;particularistic;particularity;particularly
build,builder;buildup;prebuilt;rebuild;unbuilt
second,secondarily;secondary;seconder;secondly
great,greatly;greatness
around,
long,longish;longterm
certain,certainly;certainty;uncertain;uncertainly;uncertainty
each,
maybe,
next,
still,stillness
simple,simpleness;simplification;simplify;simply;unsimplified
last,lastly
place,anyplace;fireplace;;placement;unplaced;workplace
after,afterward
off,takeoff
small,smallish;smallness
word,afterword;;wordless;wordlessly;wordy
reason,reasonable;reasonableness;reasonably;unreasonable;unreasonableness;unreasonably;unreasoning
sense,senseless;senselessness
line,headline;lineup;offline;online;storyline;timeline;unlined
become,
turn,downturn;overturn;;turnaround;turnout;unturned
group,groupthink;intergroup;regroup;subgroup;ungrouped;workgroup
today,
act,action;actionable;actor;actress;inaction;unactioned
able,ability;ably;inability;unable
read,misread;;readability;readable;reader;reread;unread
class,classiness;classless;classlessness;classy;subclass
order,orderliness;orderly;reorder;unordered
ask,unasked
quite,
whole,wholeness;wholistic;wholistically;wholly
day,daily;;daylight;daytime;midday;workday
understand,misunderstand;;understandable;understandably;understandingly
both,
remember,remembrance
too,
large,largeish;largely;largish
add,addition;additional;additionality;additionally;additive;additives
form,formless;formlessness;preform;unformed
plus,
nine,niner;nineteen;nineteenth;ninetieth;ninety;ninth
possible,impossibility;impossible;impossibly;possibility;;possibly
relate,interrelate;interrelation;interrelationship;;relatedness;relation;relational;relationship;unrelated
water,watercourse;wateriness;waterline;waterway;waterworks;watery
guy,
space,backspace;;spacer;spacious;spaciously;spaciousness;subspace;unspaced;workspace
power,manpower;;powerful;powerfully;powerless;powerlessly;powerlessness;powerpoint;willpower
person,interpersonal;;personal;personalism;personalistic;personally;personhood;salesperson
level,leveler;levelly
better,betterment
always,allus
side,backside;downside;;sideways
general,generalisabilty;generalisable;generalisation;generalise;generalist;generality;generalizabilty;generalizable;generally
hand,evenhanded;evenhandedly;evenhandedness;;handedly;handedness;hander;handful;handmade;handoff;handout;handover;handwriting
law,lawbreaker;lawbreaking;lawful;lawfully;lawfulness;lawless;lawlessness;lawmaker;lawmaking;unlawful;unlawfully
