Word,naver_priority
a,2
abandon,2
ability,2
abolish,1
about,2
above,2
absence,2
absolute,2
absolutely,2
absorb,2
abstract,1
abundance,1
abuse,2
academic,2
academy,1
accelerate,1
accent,2
accept,2
acceptable,2
acceptance,1
access,2
accessible,1
accident,2
accidentally,0
accommodate,1
accommodation,2
accompany,2
accomplish,2
accomplishment,1
accordance,1
according,2
accordingly,1
account,2
accountability,0
accountable,1
accountant,1
accumulate,1
accumulation,1
accuracy,1
accurate,2
accurately,1
accusation,1
accuse,2
accused,0
achieve,2
achievement,2
acid,2
acknowledge,2
acquire,2
acquisition,1
acre,2
across,2
act,2
action,2
activate,0
activation,0
activist,0
activity,2
actor,2
actress,2
actv,0
ad,2
adaptation,1
add,2
addiction,0
additional,2
additionally,0
address,2
adequate,2
adequately,2
adhere,1
adjacent,1
adjust,2
adjustment,1
administer,1
administration,1
administrative,1
administrator,1
admission,1
adolescent,0
adopt,2
adoption,1
adult,2
advance,2
adventure,2
adverse,1
advertisement,2
advertising,2
advice,2
advise,2
advocate,1
aesthetic,1
affair,2
affection,2
affordable,0
afraid,2
after,2
aftermath,0
afternoon,2
afterwards,2
again,2
age,2
agency,2
agenda,1
aggression,0
aggressive,2
ago,2
agreement,2
agricultural,1
agriculture,1
ahead,2
aid,2
aide,0
aids,0
aircraft,2
alarm,2
albeit,0
alcoholic,2
alien,1
alignment,0
alike,1
allegation,0
allege,1
allegedly,0
alliance,1
allocate,0
allocation,0
allow,2
allowance,1
alongside,2
alter,2
alternative,2
altogether,2
aluminium,1
amateur,1
amazed,2
amazing,2
ambassador,1
ambition,2
ambitious,1
ambulance,2
amend,1
amendment,1
amid,1
amount,2
amusing,2
an,2
analogy,1
analyse,2
analyst,1
ancestor,1
anchor,1
anger,2
angle,2
animation,1
anniversary,2
announce,2
announcement,1
annoy,2
annoying,2
annual,2
annually,2
anonymous,1
another,2
answer,2
anticipate,2
anxiety,2
anxious,2
any,2
anybody,2
anyone,2
anything,2
anyway,2
anywhere,2
apart,2
apartment,2
apologize,1
apology,1
app,0
apparatus,1
apparent,2
apparently,2
appeal,2
appealing,0
appear,2
appearance,2
appetite,1
applaud,1
apple,2
applicable,1
applicant,1
application,2
apply,2
appoint,2
appointment,2
appreciate,2
appreciation,1
approach,2
appropriate,2
appropriately,0
approval,2
approve,2
approximately,2
april,2
arbitrary,1
architectural,1
architecture,1
archive,0
arguably,0
argue,2
arise,2
arm,2
arrangement,2
arrest,2
arrive,2
arrow,2
art,2
article,2
articulate,1
artwork,0
ashamed,2
aside,2
aspect,2
aspire,1
assassination,1
assault,1
assemble,1
assembly,1
assert,1
assertion,1
assessment,1
asset,1
assign,1
assignment,1
assist,2
assistance,2
assistant,2
associate,2
associated,2
association,2
assume,2
assumption,1
assurance,1
assure,2
astonishing,1
asylum,1
athlete,1
atmosphere,2
atrocity,1
attach,2
attachment,1
attain,1
attendance,1
attorney,2
attraction,2
attractive,2
attribute,1
auction,1
audience,2
audio,1
audit,0
authentic,1
author,2
authority,2
authorize,1
auto,1
automatic,2
automatically,1
autonomy,1
availability,0
available,2
average,2
avoid,2
await,1
award,2
awareness,1
away,2
awful,2
awkward,2
back,2
backdrop,0
background,2
backing,0
backup,0
backwards,2
bad,2
badge,1
badly,2
bail,1
bake,2
balanced,0
ballet,1
balloon,1
ballot,1
banner,1
bar,2
bare,2
barely,1
bargain,2
barrel,1
based,2
basement,1
basket,2
basketball,1
bat,2
bath,2
bathroom,2
battlefield,1
bay,2
beach,2
beam,1
bean,1
beast,2
beat,2
beautiful,2
because,2
become,2
beer,2
begin,2
beginning,2
behalf,1
behave,2
behaviour,2
behind,2
believe,2
belong,2
beloved,1
bench,2
benchmark,0
beneath,2
beneficial,1
beneficiary,0
beside,2
besides,2
best,2
betray,1
better,2
between,2
bias,1
bicycle,2
bid,2
bill,2
billion,2
bin,2
bind,1
biography,1
biological,0
bishop,1
bite,2
bizarre,0
blade,2
blanket,1
block,2
blog,0
blood,2
blow,2
board,2
boast,1
bold,1
bomb,2
bombing,0
booking,1
boost,1
border,2
boring,2
bother,2
bottle,2
bounce,1
bound,2
boundary,1
bowl,2
branch,2
brand,2
brave,2
breach,1
bread,2
breakdown,1
breakfast,2
breakthrough,0
breath,2
breathe,2
breathing,2
breed,2
brick,2
bride,1
briefly,2
brilliant,2
bring,2
broadband,0
broadcast,2
broadcaster,0
broadly,2
broken,2
brown,2
browser,0
brush,2
brutal,1
bubble,2
budget,2
bug,1
build,2
bureaucracy,1
burial,1
burn,2
bury,2
businessman,2
button,2
cabin,2
calculation,2
camp,2
campaign,2
camping,2
campus,1
canal,1
candidate,2
candle,2
cannot,2
canvas,1
capability,1
capacity,2
capital,2
capitalism,1
capitalist,1
car,2
carbon,1
career,2
careful,2
carefully,1
careless,2
cargo,1
carpet,2
carriage,1
carrot,2
carry,2
cartoon,1
carve,1
case,2
cash,2
casino,0
castle,2
casual,1
casualty,1
catalogue,0
catch,2
category,2
cater,1
cause,2
caution,1
cautious,1
cave,1
cease,2
ceiling,2
celebrate,2
celebration,2
celebrity,1
cemetery,1
cent,2
central,2
centre,2
century,2
ceremony,2
certain,2
certainly,2
certainty,1
certificate,2
chain,2
chair,2
challenge,2
challenging,0
chamber,2
champion,1
championship,1
chance,2
change,2
channel,2
chaos,1
chapter,2
character,2
characteristic,2
characterize,1
charity,2
charm,2
charming,1
chart,2
charter,2
chase,2
chat,2
cheap,2
check,2
cheek,2
cheer,2
cheerful,2
cheese,2
chef,0
chemical,2
chemistry,2
chest,2
chicken,2
chief,2
child,2
childhood,1
chip,2
chocolate,2
choir,1
choose,2
chop,2
chronic,1
chunk,0
church,2
cigarette,2
cinema,2
circle,2
circuit,1
circulate,1
circulation,1
circumstance,2
cite,1
citizenship,1
city,2
civic,1
civilian,1
civilization,1
claim,2
clarify,1
clarity,1
clash,1
class,2
classical,1
classification,1
classify,1
classroom,2
clean,2
clear,2
clerk,2
clever,2
cliff,1
climate,2
climb,2
cling,1
clinic,1
clip,0
closed,2
closure,0
clothes/a,0
clothing,2
cloud,2
coalition,1
coastal,1
cocktail,1
cognitive,0
coincide,1
coincidence,1
collaborate,1
collaboration,1
collapse,2
colleague,2
collect,2
collective,1
collector,1
college,2
collision,1
colonial,1
colony,2
colour,2
coloured,2
colourful,0
column,2
columnist,0
combat,1
combination,2
combine,2
comedy,2
comfort,2
comfortable,2
comic,1
command,2
commander,1
commence,1
comment,2
commentary,1
commentator,1
commerce,2
commercial,2
commission,2
commissioner,1
commit,2
commitment,2
committee,2
commodity,1
common,2
commonly,2
communicate,2
communication,2
communist,1
community,2
companion,2
company,2
comparable,1
comparative,1
compare,2
comparison,2
compassion,1
compel,2
compelling,1
compensate,1
compensation,1
compete,2
competence,1
competent,1
competition,2
competitive,2
competitor,1
compile,1
complain,2
complaint,2
complement,1
complete,2
completely,2
completion,1
complex,2
complexity,1
compliance,1
complicated,2
complication,1
comply,1
component,1
compose,1
composer,1
composition,1
compound,1
comprehensive,1
comprise,1
compromise,1
compulsory,1
compute,1
computer,2
conceal,1
concede,1
conceive,1
concentrate,2
concentration,2
concept,2
conception,1
concerned,2
concert,2
concession,1
conclude,2
conclusion,2
concrete,2
condemn,1
condition,2
conduct,2
confer,1
conference,2
confess,1
confession,1
confidence,2
confident,2
configuration,0
confine,2
confirm,2
confirmation,1
conflict,2
confront,2
confrontation,1
confuse,2
confused,2
confusing,2
confusion,2
congratulate,1
congregation,1
congressional,1
connect,2
connected,0
connection,2
conquer,1
conscience,1
conscious,2
consciousness,1
consecutive,1
consensus,1
consent,2
consequence,2
consequently,1
conservation,1
conservative,2
conserve,1
consider,2
considerable,2
considerably,2
consideration,2
consist,2
consistency,1
consistent,1
consistently,0
consolidate,1
conspiracy,1
constant,2
constantly,2
constituency,1
constitute,1
constitution,1
constitutional,1
constraint,1
construct,2
construction,2
consult,2
consultant,1
consultation,1
consume,1
consumer,2
consumption,1
contact,2
contain,2
container,2
contemplate,1
contemporary,2
contempt,1
contend,1
contender,0
content1,0
contention,1
contest,2
context,2
continent,2
continually,1
continue,2
continuous,2
contract,2
contractor,1
contradiction,1
contrary,1
contrast,2
contribute,2
contribution,2
contributor,1
control,2
controversial,1
controversy,1
convenience,1
convenient,2
convention,2
conventional,2
conversation,2
conversion,1
convert,2
convey,1
convict,1
conviction,1
convince,2
convinced,0
convincing,1
cook,2
cooker,2
cool,2
cooperate,1
cooperative,1
coordinate,1
coordination,1
coordinator,1
cop,0
cope,2
copper,1
copy,2
core,2
corner,2
corporate,1
corporation,1
correct,2
correctly,1
correspond,1
correspondence,1
correspondent,1
corresponding,1
corridor,1
corrupt,1
cost,2
costume,1
cottage,2
cotton,2
council,2
counselling,0
counsellor,0
count,2
counter,2
counterpart,1
countless,1
country,2
countryside,2
coup,0
couple,2
course,2
court,2
courtesy,1
cousin,2
cover,2
coverage,1
covered,2
crack,2
craft,2
crawl,1
crazy,2
cream,2
creative,1
creativity,0
creature,2
credibility,0
credible,0
credit,2
crime,2
criminal,2
critically,1
criticism,2
cross,2
crowd,2
crowded,2
cruel,2
cruise,1
cry,2
cue,1
cultivate,1
cultural,2
culture,2
cupboard,2
curiosity,1
curious,2
curly,2
currency,1
current,2
currently,2
curriculum,1
curtain,2
custody,1
custom,2
customer,2
cut,2
cute,1
cycle,2
dad,2
daily,2
dairy,1
damage,2
danger,2
dare,2
dark,2
darkness,2
data,2
database,0
dawn,2
dead,2
deadline,1
deadly,1
dealer,1
decision-making,0
decisive,1
deck,2
declaration,1
